"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Summer 2022","4225","6W1","Six Week - First","CSCI","CSCI-A","110","3861","INTRO TO COMPUTERS & COMPUTING","Pope,Charles E","7","11"," 3.957"," 2.780","0","100.0","0.0","0.0","0.0","4","4","2","1","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","0","0","0","0","0","09-09-2022",
"Summer 2022","4225","6W1","Six Week - First","CSCI","CSCI-A","538","8343","NETWORK TECH & SYSTEMS ADMIN","Whitmer,Jeff","9","16"," 3.200"," 3.589","81.8","0.0","100.0","0.0","0.0","7","0","0","0","6","3","0","0","0","0","0","0","0","0","2","5","0","0","0","0","0","0","0","0","09-09-2022",
"Summer 2022","4225","6W1","Six Week - First","CSCI","CSCI-A","590","7881","TOPICS IN PROGRAMMING","Whitmer,Jeff","15","19"," 4.000"," 3.662","62.5","100.0","0.0","0.0","0.0","4","8","7","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","09-09-2022",
"Summer 2022","4225","6W2","Six Week - Second","CSCI","CSCI-C","102","7187","GREAT IDEAS IN COMPUTING","Pope,Charles E","31","37"," 3.006"," 3.035","19.4","51.6","22.6","12.9","6.5","8","7","6","3","0","2","5","2","1","1","1","1","0","2","0","6","0","0","0","0","0","0","0","0","09-09-2022",
"Summer 2022","4225","6W1","Six Week - First","CSCI","CSCI-C","200","7824","INTRO COMPUTERS & PROGRAMMING","Gates,Larry","14","16"," 3.307"," 2.952","31.3","42.9","42.9","14.3","0.0","2","2","0","4","5","1","0","1","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","09-09-2022",
"Summer 2022","4225","6W2","Six Week - Second","CSCI","CSCI-C","212","5630","INTRO TO SOFTWARE SYSTEMS","Siddiqui,Muazzam Ahmed","9","20"," 2.822"," 2.941","61.5","33.3","22.2","44.4","0.0","11","1","1","1","0","1","1","1","2","1","0","0","0","0","4","7","0","0","0","0","0","0","0","0","09-09-2022",
"Summer 2022","4225","6W2","Six Week - Second","CSCI","CSCI-C","241","7559","DISCRETE STRUCTURES FOR CSCI","Kurban,Hasan","14","20"," 3.057"," 2.971","52.9","35.7","50.0","7.1","7.1","6","0","2","3","0","5","2","0","1","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","09-09-2022",
"Summer 2022","4225","6W2","Six Week - Second","CSCI","CSCI-C","290","14288","TOPICS IN COMPUTER SCIENCE","German,Dan-Adrian","19","26"," 3.689"," 2.993","46.2","89.5","5.3","0.0","0.0","8","1","14","2","0","0","1","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","4","0","09-09-2022",
"Summer 2022","4225","6W1","Six Week - First","CSCI","CSCI-C","291","6654","SYSTEM PROG WITH C AND UNIX","Siddiqui,Muazzam Ahmed","9","11"," 3.267"," 3.176","100","44.4","44.4","11.1","0.0","2","2","0","2","1","2","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","09-09-2022",
"Summer 2022","4225","6W1","Six Week - First","CSCI","CSCI-C","343","7266","DATA STRUCTURES","Hmeljak,Mitja","19","25"," 2.274"," 2.863","70.8","26.3","10.5","36.8","10.5","9","3","1","1","2","0","0","4","1","2","1","1","0","3","3","1","2","0","0","0","0","0","0","0","09-09-2022",
"Summer 2022","4225","6W1","Six Week - First","CSCI","CSCI-G","901","14570","ADVANCED RESEARCH","Crandall,David","6","8"," 4.000"," 3.895","87.5","100.0","0.0","0.0","0.0","2","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","09-09-2022",
"Summer 2022","4225","8W2","Eight Week - Second","CSCI","CSCI-T","599","14240","TOPICS IN COMP SCI EDUCATION","Roberts,Michele Suzanne","6","7"," 4.000"," 3.719","100","100.0","0.0","0.0","0.0","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","09-09-2022",
"Summer 2022","4225","8W2","Eight Week - Second","CSCI","CSCI-T","599","14244","TOPICS IN COMP SCI EDUCATION","Roberts,Michele Suzanne","10","10"," 3.700"," 3.832","100","70.0","30.0","0.0","0.0","0","0","7","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-09-2022",
"Summer 2022","4225","6W2","Six Week - Second","CSCI","CSCI-Y","798","6096","PROFSNL PRACTICUM/INTERNSHP","Crandall,David","6","59"," 4.000"," 3.743","100","100.0","0.0","0.0","0.0","53","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53","0","0","0","0","0","0","09-09-2022",
"Spring 2022","4222","13W","Thirteen Week","CSCI","CSCI-A","110","1834","INTRO TO COMPUTERS & COMPUTING","Pope,Charles E","67","94"," 3.184"," 2.922","1.2","56.7","26.9","6.0","3.0","32","18","8","12","6","8","4","3","0","1","0","1","1","5","15","12","0","0","0","0","0","0","0","0","06-10-2022",
"Spring 2022","4222","13W","Thirteen Week","CSCI","CSCI-A","110","1835","INTRO TO COMPUTERS & COMPUTING","Pope,Charles E","40","52"," 3.048"," 3.139","0","57.5","17.5","10.0","7.5","15","16","4","3","2","1","4","1","2","1","0","1","2","3","6","6","0","0","0","0","0","0","0","0","06-10-2022",
"Spring 2022","4222","13W","Thirteen Week","CSCI","CSCI-A","110","4414","INTRO TO COMPUTERS & COMPUTING","Pope,Charles E","19","25"," 2.900"," 2.816","0","47.4","26.3","10.5","5.3","8","6","2","1","1","3","1","0","0","2","0","1","0","2","5","1","0","0","0","0","0","0","0","0","06-10-2022",
"Spring 2022","4222","1","Regular Academic Session","CSCI","CSCI-A","201","29751","INTRODUCTION TO PROGRAMMING I","Hmeljak,Mitja","16","23"," 3.150"," 3.225","0","50.0","37.5","0.0","6.3","8","2","5","1","1","2","3","0","0","0","1","0","0","1","5","2","0","0","0","0","0","0","0","0","06-10-2022",
"Spring 2022","4222","1","Regular Academic Session","CSCI","CSCI-A","201","4542","INTRODUCTION TO PROGRAMMING I","Hmeljak,Mitja","16","36"," 2.850"," 3.041","0","37.5","31.3","18.8","0.0","22","1","5","0","2","2","1","1","2","0","0","0","0","2","15","3","2","0","0","0","0","0","0","0","06-10-2022",
"Spring 2022","4222","8W2","Eight Week - Second","CSCI","CSCI-A","290","5068","TOOLS FOR COMPUTING","Whitmer,Jeff","23","35"," 3.183"," 3.280","50","30.4","52.2","17.4","0.0","12","0","6","1","7","3","2","1","2","1","0","0","0","0","5","7","0","0","0","0","0","0","0","0","06-10-2022",
"Spring 2022","4222","8W1","Eight Week - First","CSCI","CSCI-A","290","5505","TOOLS FOR COMPUTING","Whitmer,Jeff","9","16"," 2.411"," 2.778","83.3","33.3","11.1","33.3","11.1","8","1","1","1","0","1","0","1","0","2","1","0","0","1","3","4","0","0","0","0","0","0","0","0","06-10-2022",
"Spring 2022","4222","8W1","Eight Week - First","CSCI","CSCI-A","290","6084","TOOLS FOR COMPUTING","Whitmer,Jeff","11","14"," 3.036"," 3.310","72.7","36.4","54.5","0.0","0.0","4","0","3","1","1","3","2","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","06-10-2022",
